,timeAddToFront,timeAddToBack,timeAddSorted,timeSortOfUnsortedList,timeSortOfSortedList
seed,numItems = 1000,,,,
1000,322011,115035,7908731,14675244,428
2000,264280,107765,8672492,6584766,0
3000,254017,94508,8234164,6471014,427
4000,173193,40625,7892910,6481278,428
5000,157798,32073,7659419,6642068,855
6000,157798,31218,7849717,6807565,428
7000,159936,31645,7489647,6789176,427
8000,159081,30790,8431733,6247360,855
9000,167207,32929,8793086,7144543,856
10000,170627,46185,8314133,6949113,855
,,,,,
,,,,,
seed,numItems = 2000,,,,
1000,618792,92370,30819422,26093171,428
2000,577739,65856,31287258,25544939,427
3000,534120,62007,31474135,25795962,427
4000,535830,61152,30663335,25825469,855
5000,534975,62008,30766823,25775435,855
6000,533692,62435,30565833,26849234,428
7000,534119,61580,31044360,25838298,427
8000,538823,62008,31091400,26045702,428
9000,533264,62435,31230810,25465398,428
10000,536686,62863,30716789,25406812,427
,,,,,
seed,numItems = 3000,,,,
1000,1131957,92797,67858407,57272663,428
2000,1949600,145825,71945768,77639765,427
3000,1221333,614944,96457107,60366194,428
4000,1132385,93653,68069232,57445857,428
5000,1190971,101777,69181091,56847592,427
6000,1185839,99640,74662978,58539754,428
7000,1132385,92370,67965744,57458686,428
8000,1140082,93653,73368947,57382567,427
9000,1185412,101350,70571769,56538410,428
10000,1245281,100923,69227703,57455692,428
,,,,,
seed,numItems = 4000,,,,
1000,2107826,145397,128025323,101732874,855
2000,1947889,120594,125258507,104834102,428
3000,2095852,129575,122510935,101941560,428
4000,2115097,143686,119937839,102244756,428
5000,1963712,120593,122904789,101527180,428
6000,2045391,122304,123027949,101624681,855
7000,2158716,144113,129164977,103871062,428
8000,2148880,145824,121961420,104527913,428
9000,1956870,121449,125982498,101357835,428
10000,1956015,123587,125990195,101646919,428
,,,,,
seed,numItems = 5000,,,,
1000,3358239,163785,197247040,160154600,428
2000,3032807,154377,190222663,160711811,428
3000,3401002,153949,190464705,161131324,428
4000,3321889,183457,196689400,161661595,855
5000,3117479,155233,196011594,158827212,855
6000,3403997,182601,195915803,159819331,427
7000,3464293,207404,201926251,160645100,428
8000,3030241,758202,199009762,161972915,427
9000,3253468,164213,195582246,161828373,856
10000,3072577,153950,198678770,162264564,855
,,,,,
seed,numItems = 6000,,,,
1000,4537236,818499,279116141,231088150,428
2000,4803227,190726,291463325,230457384,428
3000,4970433,226220,281429234,231885267,427
4000,4299042,181319,282287503,230545478,427
5000,4275094,181747,277092132,229523851,427
6000,4562466,183456,281447623,227962119,427
7000,5021322,216384,278630345,228578344,428
8000,5088461,225793,275116874,227876591,855
9000,4506446,183456,274634498,229286085,428
10000,4426478,184740,275906293,229452863,8553
,,,,,
seed,numItems = 7000,,,,
1000,6152424,215957,381405799,316421117,428
2000,6219136,231780,380256309,314950043,428
3000,6045087,270267,379198761,316592600,428
4000,6089561,216385,379116654,315441399,428
5000,6179365,266845,377346235,313948943,428
6000,6320057,229642,374481062,310783142,428
7000,5760280,215530,386224848,324973016,856
8000,6243938,231352,476249001,356359914,428
9000,6181503,230497,501855520,323352697,428
10000,5918078,215957,374311717,318075648,427
,,,,,
seed,numItems = 8000,,,,
1000,7517444,244181,486201414,408428653,428
2000,7510173,244181,491380534,415838760,427
3000,8105018,262570,487512552,412328283,855
4000,7594846,243326,490932797,408770336,427
5000,7624353,245036,487495873,407903942,428
6000,7588859,245891,486788133,405694338,855
7000,7900607,263852,490608648,411772781,428
8000,8478345,290794,483538941,410353452,427
9000,7590997,245037,484694418,407863744,428
10000,8085774,260431,490475225,410546316,428
,,,,,
seed,numItems = 9000,,,,
1000,11191706,290794,615717482,528139417,855
2000,9829253,271550,616579599,518177168,428
3000,11583850,289083,614711678,538248772,428
4000,10923150,299773,615512216,521440900,855
5000,11423058,292931,618281598,526256528,428
6000,11650989,300202,618648511,591735987,427
7000,11784412,489217,656525238,525399114,427
8000,11166048,271550,625443674,549412255,855
9000,11313583,283524,619648756,521998539,427
10000,11321281,288655,630403844,549726568,428
,,,,,
seed,numItems = 10000,,,,
1000,12652090,332274,763244368,640880113,427
2000,12036718,333129,765807628,634471106,855
3000,13860166,308754,755882156,657327915,428
4000,11964875,308754,752603030,639232425,427
5000,12153464,307899,761047165,639509962,428
6000,12720083,331419,756845624,638059415,427
7000,13269170,932251,770754968,635310559,428
8000,12046982,307044,755824426,637225093,427
9000,12479751,308326,768135688,636568242,856
10000,13434239,337834,772600653,635144208,855
